分类: 🌎美国体育, 名称: Fubo Sports Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 90 ms, 最高速率: 45.83 M/s, 平均速率: 45.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NBC Sports Boston, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 93 ms, 最高速率: 1.23 M/s, 平均速率: 1.23 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NBC Sports California, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 94 ms, 最高速率: 7.05 M/s, 平均速率: 7.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Big Ten Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 763 ms, 最高速率: 5.79 M/s, 平均速率: 5.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NBA TV, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1453 ms, 最高速率: 1.29 M/s, 平均速率: 1.29 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Spectrum SportsNet LA Dodgers, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1084 ms, 最高速率: 1.65 M/s, 平均速率: 1.65 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: YES Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 624 ms, 最高速率: 6.11 M/s, 平均速率: 6.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NBC Sports Philadelphia, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 110 ms, 最高速率: 1.38 M/s, 平均速率: 1.38 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: beIN SPORTS, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 343 ms, 最高速率: 3.34 M/s, 平均速率: 3.34 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Sportsnet New York, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1327 ms, 最高速率: 1.52 M/s, 平均速率: 1.52 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Spectrum SportsNet Lakers, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1074 ms, 最高速率: 7.69 M/s, 平均速率: 7.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Sportsnet Pittsburgh, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NFL Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 707 ms, 最高速率: 4.99 M/s, 平均速率: 4.99 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NHL Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 124 ms, 最高速率: 29.78 M/s, 平均速率: 29.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: MLB Network, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Willow Cricket, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Marquee Sports Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 38 ms, 最高速率: 2.18 M/s, 平均速率: 2.18 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: F1 Channel, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 108 ms, 最高速率: 33.05 M/s, 平均速率: 33.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: MotoGP TV, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 86 ms, 最高速率: 38.74 M/s, 平均速率: 38.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Tennis Channel, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 231 ms, 最高速率: 16.25 M/s, 平均速率: 16.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Altitude Sports, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 35 ms, 最高速率: 5.20 M/s, 平均速率: 5.20 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: Golf Channel, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 39 ms, 最高速率: 0.88 M/s, 平均速率: 0.88 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Detroit, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 105 ms, 最高速率: 2.43 M/s, 平均速率: 2.43 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Florida, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 452 ms, 最高速率: 0.84 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FanDuel Sports Network Midwest, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 465 ms, 最高速率: 0.98 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NFL RedZone, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 212 ms, 最高速率: 1.29 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1024x576, 平均帧率: 59.94, 视频编解码器: h264, 音频编解码器: aac
